CASE NUMBER,SR LOCATION,COUNTY,DISTRICT,NEIGHBORHOOD,TAX ID,TRASH QUAD,RECYCLE QUAD,TRASH DAY,HEAVY TRASH DAY,RECYCLE DAY,KEY MAP,MANAGEMENT DISTRICT,DEPARTMENT,DIVISION,SR TYPE,QUEUE,SLA,STATUS,SR CREATE DATE,DUE DATE,DATE CLOSED,OVERDUE,Title,x,y,LATITUDE,LONGITUDE,Channel Type
12417975-101003817951,Intersection 6800 ALABONSON RD & 6200 W LITTLE YORK RD & 6030 VICTORY DR,Harris County,A,GREATER INWOOD,,,,,,,411T,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-11 13:04:14,2020-01-15 13:04:13,2020-01-13 10:49:22,-2.09,Flooding-101003817951,3083879.99220000000,13879087.32336000000,29.86565781,-95.48037717,Voice In
12418236-101003821344,"3200 W DALLAS, HOUSTON TX 77019",Harris,C,NEARTOWN - MONTROSE,1286320010001,NW,NE,MONDAY,1st Wednesday,MONDAY-A,492M,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-14 17:01:05,2020-01-18 17:01:05,2020-01-14 17:19:20,-3.99,Flooding - 383157,-95.39940000000,29.75763000000,29.75759271,-95.39936573,WAP
12418703-101003826377,"3544 CLINE, HOUSTON TX 77020",HARRIS,B,GREATER FIFTH WARD,1255600010048,NE,NW,FRIDAY,1st Thursday,FRIDAY-B,494K,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-20 01:16:10,2020-01-24 01:16:10,2020-01-21 08:09:21,-2.71,Flooding - 383841,-95.33387000000,29.76631000000,29.76630454,-95.33395678,WAP
12418771-101003826960,"916 NICHOLSON, HOUSTON TX 77008",HARRIS,C,GREATER HEIGHTS,0202330000026,NW,SW,THURSDAY,3rd Wednesday,Thursday-b,492D,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-20 18:46:39,2020-01-24 18:46:39,2020-01-22 09:59:21,-2.37,Flooding,,,29.78767851,-95.405211,WEB
12418993-101003829825,"1162 ALLEN GENOA, HOUSTON TX 77017",Harris,E,MEADOWBROOK / ALLENDALE,0804610000016,SE,SE,MONDAY,1st Monday,MONDAY-B,536N,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-22 16:25:04,2020-01-26 16:25:03,2020-01-27 10:49:20,0.77,Flooding-101003829825,3163483.07151000000,13818130.32749000000,29.69129171,-95.23554403,Voice In
12419020-101003840120,"9240 NATHANIEL, HOUSTON TX 77075",Harris,I,GREATER HOBBY AREA,1048270000002,,,,,,576J,HCID #9,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-23 05:33:56,2020-01-27 05:33:56,2020-01-24 08:09:21,-2.89,Flooding-101003840120,3161289.46697000000,13797688.42415000000,29.63529785,-95.24451676,Voice In
12419170-101003841631,"1904 KIRBY, HOUSTON TX 77019",Harris,G,AFTON OAKS / RIVER OAKS AREA,0601500290012,,,,,,492Q,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-24 00:35:58,2020-01-28 00:35:58,2020-01-24 13:39:21,-3.46,Flooding - 384740,-95.41891000000,29.74923000000,29.74905276,-95.41922463,WAP
12419172-101003841639,"1401 A HYDE PARK, HOUSTON TX 77006",Harris,C,NEARTOWN - MONTROSE,1208780020001,NW,NE,MONDAY,,MONDAY-A,493N,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-24 00:36:14,2020-01-28 00:36:14,2020-01-24 00:59:22,-3.98,Flooding - 384758,-95.39456000000,29.74679000000,29.74683473,-95.39460111,WAP
12419184-101003841699,"1216 ASHLAND, HOUSTON TX 77008",HARRIS,C,GREATER HEIGHTS,0201780000053,NW,NE,THURSDAY,3rd Wednesday,THURSDAY-B,452Z,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-24 00:38:10,2020-01-28 00:38:10,2020-01-24 19:49:21,-3.20,Flooding - 384886,-95.40287000000,29.79312000000,29.79308948,-95.40309447,WAP
12419290-101003842917,"15223 CHASERIDGE, HOUSTON TX 77489",Fort Bend,K,FORT BEND HOUSTON,2500010032600907,SW,SW,THURSDAY,3rd Thursday,THURSDAY-A,570V,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-24 16:07:59,2020-01-28 16:07:59,2020-01-27 11:04:20,-1.21,Flooding-101003842917,3079325.08202000000,13784248.04453000000,29.60534054,-95.50368589,Voice In
12419391-101003844038,"3546 CLINE, HOUSTON TX 77020",HARRIS,B,GREATER FIFTH WARD,1255600010049,NE,NW,FRIDAY,1st Thursday,FRIDAY-B,494K,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-27 00:23:22,2020-01-31 00:23:22,2020-01-27 06:54:21,-3.73,Flooding - 385109,-95.33395000000,29.76635000000,29.76637397,-95.33395725,WAP
12419398-101003844064,"1217 TULANE, HOUSTON TX 77008",Harris,C,GREATER HEIGHTS,0201780000011,NW,NE,THURSDAY,3rd Wednesday,THURSDAY-B,452Z,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-27 00:24:06,2020-01-31 00:24:06,2020-01-27 10:59:20,-3.56,Flooding - 385389,-95.40257000000,29.79316000000,29.79315382,-95.40256632,WAP
12419495-101003844987,"1217 TULANE, HOUSTON TX 77008",Harris,C,GREATER HEIGHTS,0201780000011,NW,NE,THURSDAY,3rd Wednesday,THURSDAY-B,452Z,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-27 13:31:22,2020-01-31 13:31:22,2020-01-28 05:49:21,-3.32,Flooding - 385721,-95.40257000000,29.79316000000,29.79315382,-95.40256632,WAP
12419495-101003844988,"1217 TULANE, HOUSTON TX 77008",Harris,C,GREATER HEIGHTS,0201780000011,NW,NE,THURSDAY,3rd Wednesday,THURSDAY-B,452Z,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-27 13:31:24,2020-01-31 13:31:24,2020-01-27 13:31:35,-4.00,Flooding - 385722,-95.40257000000,29.79316000000,29.79315382,-95.40256632,WAP
12419661-101003846787,Intersection 5000 BUFFALO SPEEDWAY & 0 SOUTHWEST FWY,Harris County,C,GREENWAY / UPPER KIRBY AREA,,,,,,,492X,HCID #3 (Upper Kirby),PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-28 15:08:02,2020-02-01 15:08:02,2020-01-29 10:29:20,-3.19,Flooding-101003846787,3101972.89761000000,13830098.77764000000,29.72949406,-95.42803953,Voice In
12419680-101003846964,Intersection 11200 BELLAIRE BLVD & 6800 BOONE RD,Harris County,F,ALIEF,,,,,,,529F,International MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-28 16:17:31,2020-02-01 16:17:31,2020-01-29 14:24:20,-3.08,Flooding-101003846964-101003846964,3055505.05846000000,13819384.73443000000,29.70386509,-95.57537847,Voice In
12419735-101003847331,"12123 FAIRBURY, HOUSTON TX 77089",HARRIS,D,SOUTH BELT / ELLINGTON,1022050000043,SE,SE,THURSDAY,2nd Thursday,THURSDAY-B,617A,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-29 00:29:38,2020-02-02 00:29:38,2020-01-29 14:34:21,-3.41,Flooding - 386029,-95.19305000000,29.58916000000,29.5891857,-95.19302979,WAP
12419744-101003847352,"6060 VICTORY, HOUSTON TX 77088",Harris,A,GREATER INWOOD,0991100000064,,,,,,411T,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-29 00:30:25,2020-02-02 00:30:25,2020-01-29 14:49:21,-3.40,Flooding - 386075,-95.48039000000,29.86591000000,29.86603619,-95.48021181,WAP
12419903-101003848779,"7011 REGENCY SQUARE, HOUSTON TX 77036",HARRIS,J,SHARPSTOWN,1048500000007,,,,,,530D,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-30 00:19:21,2020-02-03 00:19:20,2020-01-31 06:34:20,-2.74,Flooding - 386232,-95.50575000000,29.71548000000,29.71567346,-95.50600154,WAP
12419971-101003849458,"10884 W BELLFORT, HOUSTON TX 77099",Harris,F,ALIEF,0441040000024,,,,,,569C,International MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-30 12:31:07,2020-02-03 12:31:07,2020-01-31 12:54:21,-2.98,Flooding - 386377,-95.57084000000,29.65568000000,29.65577471,-95.57057715,WAP
12420148-101003851335,"11302 COLD SPRING, HOUSTON TX 77043",HARRIS,A,SPRING BRANCH WEST,0973270000035,,,,,,449X,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-31 18:47:26,2020-02-04 18:47:26,2020-01-31 19:05:12,-3.99,Flooding-101003851335,3052346.37416000000,13850806.55348000000,29.79049272,-95.58243224,Voice In
101003852312,"1213 COLUMBUS, HOUSTON TX 77019",,C,NEARTOWN - MONTROSE,,NW,NE,MONDAY,1st Wednesday,MONDAY-A,493N,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-03 08:48:36,2020-02-07 08:47:00,2020-02-03 14:10:49,-3.78,Flooding,,,29.75572597,-95.39129299,e-mail In
12420552-101003855327,"1213 COLUMBUS, HOUSTON TX 77019",,C,NEARTOWN - MONTROSE,,NW,NE,MONDAY,1st Wednesday,MONDAY-A,493N,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-05 01:23:59,2020-02-09 01:23:58,2020-02-05 04:04:21,-3.89,Flooding - 386798,-95.39127000000,29.75561000000,29.75572597,-95.39129299,WAP
12420734-101003856837,"3615 WILLIA, HOUSTON TX 77007",HARRIS,H,WASHINGTON AVENUE COALITION / MEMORIAL P,1368900010001,,,,,,493J,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-06 01:42:54,2020-02-10 01:42:54,2020-02-06 02:29:20,-3.97,Flooding - 387463,-95.39668000000,29.76642000000,29.76642317,-95.39618932,WAP
12420749-101003856950,"1702 WACO, HOUSTON TX 77020",,B,GREATER FIFTH WARD,,NE,NE,FRIDAY,1st Thursday,FRIDAY-B,494F,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-06 08:00:34,2020-02-10 08:00:34,2020-02-06 08:24:21,-3.98,Flooding,,,29.77695162,-95.32634905,WEB
12420955-101003859800,Intersection 12700 HILLCROFT AVE & 0 MAIN ST,,K,CENTRAL SOUTHWEST,,,,,,,571J,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-08 06:47:23,2020-02-12 06:47:23,2020-02-10 14:44:20,-1.67,Flooding,,,,,Unknown
12421647-101003867380,"1512 HUTCHINS, HOUSTON TX 77003",Harris,I,DOWNTOWN,0020410000001,SE,SE,MONDAY,1st Friday,MONDAY-A,493V,East Downtown MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-14 15:55:14,2020-02-18 15:54:00,2020-02-18 13:19:20,-0.11,Flooding-101003867380,3123938.67586000000,13837025.75886000000,29.74667167,-95.35818262,e-mail In
12421908-101003870100,"15917 POST OAK, HOUSTON TX 77053",Fort Bend,K,FORT BEND HOUSTON,6250010000106907,,,,,,571Y,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-18 00:31:15,2020-02-22 00:31:14,2020-02-19 08:39:20,-2.66,Flooding - 388656,-95.46705000000,29.59389000000,29.59388686,-95.4670519,WAP
12421957-101003870706,"117 BEN, HOUSTON TX 77022",Harris,H,NORTHSIDE/NORTHLINE,0770510040058,NE,NW,MONDAY,3rd Monday,MONDAY-B,453F,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-18 11:26:45,2020-02-22 11:26:45,2020-02-19 07:54:20,-3.15,Flooding,,,29.84384647,-95.37587385,WEB
12422235-101003874037,"3715 MARKET, HOUSTON TX 77020",HARRIS,B,GREATER FIFTH WARD,0350050000001,NE,NW,FRIDAY,1st Thursday,FRIDAY-B,494F,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-20 16:43:16,2020-02-24 16:43:16,2020-02-21 15:29:20,-3.05,Flooding-101003874037,3131849.92021000000,13846770.19475000000,29.77277609,-95.33230064,Voice In
12422262-101003874292,"706 WESTSHIRE, HOUSTON TX 77013",Harris,I,NORTHSHORE,0772390040011,NE,NE,THURSDAY,1st Monday,THURSDAY-A,496E,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-21 02:04:10,2020-02-25 02:04:10,2020-02-21 02:34:21,-3.98,Flooding - 389786,-95.24183000000,29.77651000000,29.77654423,-95.24198445,WAP
12422342-101003875273,"1500 MEMORIAL, HOUSTON TX 77007",,H,WASHINGTON AVENUE COALITION / MEMORIAL P,,,,,,,493L,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-21 15:15:51,2020-02-25 15:15:51,2020-02-24 09:19:20,-1.25,Flooding - 389883,-95.43511000000,29.77634000000,29.76394295,-95.3723339,WAP
12422456-101003876518,"1320 STUDER, HOUSTON TX 77007",HARRIS,C,WASHINGTON AVENUE COALITION / MEMORIAL P,1260030010020,NW,NW,MONDAY,1st Wednesday,MONDAY-A,492G,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-24 00:35:16,2020-02-28 00:35:16,2020-02-24 01:34:20,-3.96,Flooding - 390076,-95.41439000000,29.77277000000,29.77271897,-95.41447893,WAP
12422458-101003876530,"1322 STUDER, HOUSTON TX 77007",HARRIS,C,WASHINGTON AVENUE COALITION / MEMORIAL P,1260030010021,NW,NW,MONDAY,1st Wednesday,MONDAY-A,492G,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-24 00:35:45,2020-02-28 00:35:45,2020-02-24 01:34:20,-3.96,Flooding - 390106,-95.41438000000,29.77288000000,29.77290866,-95.41447844,WAP
12422488-101003876690,Intersection 3500 W 11TH ST & 1100 SEAMIST DR,Harris County,C,LAZYBROOK / TIMBERGROVE,,,,,,,492A,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-24 07:43:55,2020-02-28 07:43:55,2020-02-24 13:04:20,-3.78,Flooding-101003876690,3098203.94321000000,13851710.59563000000,29.78921517,-95.43783566,Voice In
101003876718,"3803 SHERWOOD, HOUSTON TX 77092",HARRIS,A,LAZYBROOK / TIMBERGROVE,0661120060010,NW,NW,THURSDAY,4th Tuesday,THURSDAY-B,452N,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-24 08:08:36,2020-02-28 08:08:36,2020-02-24 08:08:55,-4.00,Flooding,,,29.81358078,-95.44700165,Voice In
12422499-101003876721,"3803 SHERWOOD, HOUSTON TX 77092",HARRIS,A,LAZYBROOK / TIMBERGROVE,0661120060010,NW,NW,THURSDAY,4th Tuesday,THURSDAY-B,452N,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-24 08:10:46,2020-02-28 08:10:45,2020-02-24 13:09:20,-3.79,Flooding-101003876721,3095028.80225000000,13860478.38584000000,29.81358078,-95.44700165,Voice In
12422502-101003876753,"3934 W ALABAMA, HOUSTON TX 77027",HARRIS,G,GREENWAY / UPPER KIRBY AREA,1121430000004,,,,,,492S,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-24 08:31:48,2020-02-28 08:31:48,2020-02-24 13:39:19,-3.79,Flooding-101003876753,3096799.90763000000,13833184.99292000000,29.73841075,-95.4440357,Voice In
12422520-101003876823,"2115 BOYKIN, HOUSTON TX 77034",HARRIS,E,EDGEBROOK AREA,0842500000009,SE,SW,THURSDAY,2nd Monday,THURSDAY-B,576A,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-24 09:02:33,2020-02-28 09:02:33,2020-02-24 12:29:20,-3.86,Flooding-101003876823,3162502.29066000000,13803698.22775000000,29.65170968,-95.24009272,Voice In
12422530-101003876871,Intersection 6400 JENSEN DR & 2900 KING ST,Harris County,H,EASTEX - JENSEN AREA,,NE,NE,,2nd Friday,MONDAY-B,454N,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-24 09:22:57,2020-02-28 09:22:57,2020-02-24 16:09:19,-3.72,Flooding-101003876871,3128107.59961000000,13863083.61718000000,29.81793791,-95.34248344,Voice In
12422534-101003876889,"2521 N MACGREGOR, HOUSTON TX 77004",Harris,D,MACGREGOR,0611260320021,SE,SW,TUESDAY,3rd Friday,TUESDAY-A,533B,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-24 09:30:46,2020-02-28 09:30:46,2020-02-24 14:24:20,-3.80,Flooding-101003876889,3118648.96531000000,13825290.16094000000,29.7148658,-95.37599036,Voice In
12422536-101003876896,"6401 JENSEN, HOUSTON TX 77026",Harris,H,EASTEX - JENSEN AREA,0660550040329,NE,NE,MONDAY,2nd Friday,MONDAY-B,454N,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-24 09:35:14,2020-02-28 09:35:13,2020-02-24 09:54:19,-3.99,Flooding-101003876896,3127960.06152000000,13863145.20006000000,29.81811987,-95.34294241,Voice In
12422557-101003877033,Intersection 2400 W HOLCOMBE BLVD & 6800 MORNINGSIDE DR,Harris County,C,UNIVERSITY PLACE,,SW,SE,,3rd Monday,TUESDAY-B,532G,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-24 10:23:04,2020-02-28 10:23:04,2020-02-24 14:29:20,-3.83,Flooding-101003877033,3106441.54287000000,13821754.08698000000,29.70618061,-95.41477201,Voice In
12422569-101003877111,"9405 SHADY, HOUSTON TX 77016",Harris,B,TRINITY / HOUSTON GARDENS,0650250000111,NE,NW,TUESDAY,2nd Tuesday,TUESDAY-A,454D,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-24 10:53:44,2020-02-28 10:53:43,2020-02-24 16:09:19,-3.78,Flooding-101003877111,3138343.44134000000,13873988.04025000000,29.84702556,-95.30913484,Voice In
12422606-101003877386,"11259 HAZEN, HOUSTON TX 77072",Harris,F,ALIEF,1013560000024,SW,SW,MONDAY,1st Wednesday,MONDAY-B,529P,International MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-24 12:43:46,2020-02-28 12:43:46,2020-02-25 08:19:19,-3.18,Flooding-101003877386,3054719.88680000000,13814070.36251000000,29.68931973,-95.57834046,Voice In
12422646-101003877931,Intersection 9700 LEDGE ST & 9300 NATHANIEL ST,,I,GREATER HOBBY AREA,,,,,,,576J,HCID #9,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-24 16:11:14,2020-02-28 16:11:14,2020-02-25 14:24:19,-3.07,Flooding-101003877931,3161526.77030000000,13797872.26335000000,,,Voice In
12422652-101003877999,"8314 MONROE, HOUSTON TX 77061",Harris,I,GREATER HOBBY AREA,1409320010001,,,,,,575G,HCID #9,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-24 16:30:57,2020-02-28 16:30:57,2020-02-25 11:39:19,-3.20,Flooding - 390340,-95.26484000000,29.64908000000,29.64874702,-95.26537734,WAP
12422683-101003878303,"12231 KIMBERLEY, HOUSTON TX 77024",Harris,G,MEMORIAL,0935530000016,NW,NW,MONDAY,4th Wednesday,MONDAY-A,490E,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-25 00:01:10,2020-02-29 00:01:10,2020-02-25 14:14:20,-3.41,Flooding - 390229,-95.54437000000,29.77627000000,29.77614392,-95.54413589,WAP
12422728-101003878588,Intersection 700 DAIRY ASHFORD RD & 14600 MEMORIAL DR,Harris County,G,MEMORIAL,,,,,,,488H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-25 08:30:24,2020-02-29 08:30:23,2020-02-26 12:49:19,-2.82,Flooding-101003878588,3045001.40919000000,13843172.41816000000,29.77009591,-95.60627756,Voice In
12422760-101003878854,"1217 TULANE, HOUSTON TX 77008",Harris,C,GREATER HEIGHTS,0201780000011,NW,NE,THURSDAY,3rd Wednesday,THURSDAY-B,452Z,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-25 10:17:03,2020-02-29 10:17:03,2020-02-26 10:24:20,-2.99,Flooding - 390463,-95.40257000000,29.79320000000,29.79315382,-95.40256632,WAP
12423029-101003881411,"28 TRENWOOD, HOUSTON 77022",Harris,H,NORTHSIDE/NORTHLINE,0710100040001,NE,NW,MONDAY,3rd Monday,MONDAY-B,453F,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-27 01:32:26,2020-03-02 01:32:26,2020-02-27 07:54:19,-3.73,Flooding - 390682,-95.38119000000,29.83943000000,29.83935546,-95.38110589,WAP
12423036-101003881431,"2802 PALM, HOUSTON 77004",Harris,D,MACGREGOR,0193080000001,SE,SW,TUESDAY,3rd Friday,TUESDAY-A,533C,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-27 01:33:10,2020-03-02 01:33:09,2020-02-27 06:54:19,-3.78,Flooding - 390724,-95.37082000000,29.72037000000,29.72025082,-95.3709516,WAP
12423075-101003881784,"1225 TULANE, HOUSTON 77008",Harris,C,GREATER HEIGHTS,0201780000009,NW,NE,THURSDAY,3rd Wednesday,THURSDAY-B,452Z,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-02-27 10:15:55,2020-03-02 10:15:55,2020-02-28 15:09:20,-2.80,Flooding - 390802,-95.40272000000,29.79341000000,29.79338307,-95.4026466,WAP
